	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610005C13Rik	9.16936585296769	0.358612449289113	0.415957134437188	0.862137993556317	0.388611586139415	0.793849046760617
0610007P14Rik	1523.23386353616	-0.124676636985726	0.0966213552748113	-1.29036315658292	0.19692459803475	0.636342851700046
0610009B22Rik	265.313387643967	-0.263392527960811	0.156021414153275	-1.68818190368442	0.0913763158989917	0.481587213647898
0610009L18Rik	60.0913667899951	0.0286325433731363	0.279826658717783	0.102322428836251	0.918500753104107	0.986002927791758
0610009O20Rik	714.538923463338	0.0987690938017632	0.0995631582693894	0.992024515077377	0.321185566790616	0.749471483212445
0610010F05Rik	852.150870152605	0.184767576906244	0.123497458049243	1.49612453426022	0.134621205568275	0.554536440534123
0610010K14Rik	480.234831177292	-0.277378487045708	0.121016409941913	-2.29207334095308	0.0219014114443552	0.253804736931607
0610011F06Rik	886.591967207952	-0.200176768509581	0.133463386866588	-1.4998627954023	0.133649947014344	0.553468864416668
0610012G03Rik	738.573099714706	-0.337403038947679	0.13470075377675	-2.50483408212313	0.0122508847234176	0.182780507571254
0610030E20Rik	519.683962520977	0.138901086145214	0.126696273880535	1.09633126445524	0.272933832118463	0.71202299934004
0610031J06Rik	1176.92816106597	-0.224732801904696	0.108408921805944	-2.07301021134567	0.0381713292556187	0.329258028782424
0610037L13Rik	513.86632438188	0.00885754051133575	0.102808508209282	0.0861557147906956	0.931342634229227	0.989712335005623
0610038B21Rik	5.76066134724754	0.289344299330969	0.425274625846045	0.680370475326019	0.496269910736666	0.845383798745728
0610039K10Rik	19.1941847624273	0.510902752512444	0.368369293013859	1.38693089299716	0.165462836582396	0.601953090106965
0610040B10Rik	44.9757918897566	0.0424035382317809	0.257528249125264	0.164655871252227	0.869214852427634	0.973787445450119
0610040F04Rik	25.1201156306508	-0.451372428508018	0.297021462081068	-1.51966267132852	0.128595777945116	0.548668312441779
1100001G20Rik	5.6754898501739	0.583284676057899	0.425222879084118	1.37171517514351	0.170152122433301	0.607740879190181
1110001J03Rik	274.192847543576	-0.222078888776678	0.160283112000023	-1.38554140860857	0.165886979896229	0.602527428050053
1110002L01Rik	80.4726350138216	-0.0220079726942473	0.238735806686506	-0.0921854706242156	0.926550681649006	0.988657443958622
1110004E09Rik	504.324741789672	-0.208116430664294	0.117440338093361	-1.7721034700943	0.0763773830348573	0.447412269984986
1110004F10Rik	2109.74416759719	-0.0424686767014579	0.0738096021029086	-0.57538146110375	0.565033339364957	0.874619286161396
1110006O24Rik	23.2471378082696	-0.238553062899464	0.310636207526628	-0.767949959210776	0.442516914825519	0.818288486955427
1110007C09Rik	455.697495637676	-0.319625659006819	0.163631743360791	-1.95332306826358	0.0507813257266924	0.373690005090137
1110008F13Rik	842.889033222114	-0.220632427890906	0.104889672980571	-2.10347140591977	0.0354245822706487	0.31550945601772
1110008L16Rik	492.508192075356	0.033412340811338	0.0995092767096805	0.335771115177723	0.737043473589221	0.936584777965398
1110008P14Rik	336.51456715296	-0.234587171287779	0.121516646208846	-1.93049412246453	0.053545642771249	0.384403273093606
1110012L19Rik	389.680156738805	0.100374279690937	0.159201876422352	0.630484275352702	0.528377787696823	0.858353954023315
1110019D14Rik	38.2563493655538	0.119060890115503	0.277306532036926	0.429347586012324	0.667670291413632	0.913275307025555
1110020A21Rik	13.7554824998458	-0.0142497207666346	0.38539682693688	-0.0369741517590866	0.970505615551715	0.996927562809785
1110032A03Rik	136.678388961082	-0.114528344474406	0.181519906139968	-0.630940963500139	0.528079126381948	0.858353954023315
1110032F04Rik	882.59240131964	0.364286094086107	0.137907483189248	2.64152521430764	0.00825336635618138	0.148222162722056
1110034G24Rik	129.369151399071	0.217963592560977	0.172685713267267	1.26219817746957	0.206877484366167	0.645445662917315
1110037F02Rik	3279.76776696989	0.150149519106608	0.079588887415166	1.88656386567349	0.0592190107538626	0.400942957456515
1110038B12Rik	997.013680885601	-0.380256370235546	0.106981096093794	-3.55442582026044	0.000378805353691022	0.0172008036356622
1110038F14Rik	551.247631274707	-0.170411491688117	0.0924110839732694	-1.84405900635696	0.0651745413040829	0.418075768898145
1110046J04Rik	38.7925513623132	0.10925213534798	0.270183610592764	0.404362555923687	0.685946130715301	0.918916190159346
1110051M20Rik	374.417869890056	-0.125981355806716	0.11471547376369	-1.09820717008268	0.272114036033233	0.7107526485616
1110054M08Rik	55.7738807636539	-0.126047473609429	0.224503922302337	-0.561448870544372	0.574491576462338	0.879850212479318
1110057K04Rik	792.228196823723	0.0976661732607852	0.0896936736715709	1.08888586299193	0.276204221146885	0.715396361553094
1110058L19Rik	232.46157120626	-0.211318180663655	0.153969026894598	-1.37247201548086	0.169916544786984	0.607573591933863
1110059E24Rik	1069.03128964347	-0.076677617859022	0.136916201738358	-0.560033194651062	0.575456796116601	0.880257884356208
1110059G10Rik	354.530873016457	0.109827147011224	0.108481546945254	1.01240395351893	0.311344948817829	0.741341699421198
1110065P20Rik	119.978129370251	-0.455905379810499	0.182705066127481	-2.49530781753142	0.0125847905776381	0.185721414861514
1190002F15Rik	415.106665502485	0.102485660461138	0.170561384286964	0.600872588420775	0.547924851919788	0.867257399887459
1190002N15Rik	936.816438072608	0.177208718025665	0.136435041829275	1.29885046868979	0.193995250740688	0.633709136000156
1190005I06Rik	23.0548204088398	0.287898519900399	0.3498544860766	0.822909327615039	0.410559557969667	0.805897926474512
1190007I07Rik	258.356739604937	0.00602978520181127	0.1256777722352	0.047978135628684	0.961733667776574	0.996927562809785
1200014J11Rik	1921.25085661998	0.0249288694017117	0.0742559307207182	0.33571553355746	0.737085390922904	0.936584777965398
1300002E11Rik	153.385849760306	-0.083926857245977	0.157695691040216	-0.532207676014267	0.594582167144617	0.887391471461233
1500004A13Rik	63.9614990976837	0.246156476197114	0.253173069113516	0.972285389828506	0.33090859016676	0.756656175682954
1500009L16Rik	39.7590956127156	-0.182592195561277	0.310619385754772	-0.587832582044412	0.556644672070771	0.870486605932373
1500011B03Rik	319.311992903123	-0.126469969377586	0.140740476263367	-0.898604102638699	0.368863572671395	0.781166857925368
1500011K16Rik	258.585618081128	-0.216625703662869	0.131065256513367	-1.65280799370942	0.0983699467006121	0.495538506595001
1500012F01Rik	3562.44658307229	-0.222061919010644	0.143630633187284	-1.54606238295344	0.122089502515246	0.539780450250624
1500015A07Rik	92.1522837291541	-0.241172938991636	0.213510451017134	-1.12956034630962	0.25866152786108	0.699660129573935
1600002H07Rik	235.916357643096	0.160442926952689	0.173685795753089	0.92375387553726	0.355614474801124	0.771888906372269
1600002K03Rik	265.2110018989	-0.279916623302984	0.133236074621681	-2.10090716120088	0.0356491166762605	0.316138508891959
1600012H06Rik	439.115466379298	-0.0518186615563309	0.158426733837215	-0.327082811727819	0.743605251712315	0.937499164499777
1600014C10Rik	1070.3781586484	-0.237696840471591	0.149195499110478	-1.59319042389864	0.111117478824262	0.520718906184534
1600016N20Rik	92.6114445259229	-0.0514636913463981	0.246546600327918	-0.208738190986812	0.834652624701079	0.967041992684027
1600020E01Rik	277.807296496525	-0.0905038079405654	0.154393960967619	-0.586187486695461	0.557749529748952	0.870866142330254
1600023N17Rik	23.4618108806042	-0.461042053784063	0.352877450564929	-1.30652172034788	0.191375197556676	0.630961888593245
1700001G11Rik	30.6200061079408	-0.12278048267516	0.274270427220161	-0.447662126462515	0.654397058972065	0.90948396659471
1700001G17Rik	7.13204193642895	-0.537740744590719	0.422493562172064	-1.27277855271016	0.203096633839662	0.641193938472418
1700001K19Rik	14.49215224209	-0.0823940606066086	0.361956038709169	-0.227635546295754	0.819929583387927	0.962443117864488
1700001K23Rik	5.5594253406249	-0.34157554094123	0.421510631096978	-0.810360441093222	0.417733046866771	0.807435982974075
1700001L05Rik	58.2055847829594	0.219327801713316	0.326926814633115	0.670877370396952	0.502298653559978	0.847192461615403
1700001O22Rik	60.2934710177308	0.0372432150439876	0.287382648906402	0.129594515137611	0.896887242937473	0.980134842551471
1700001P01Rik	6.70583034144501	-0.160032182543701	0.42538847301429	-0.376202442463279	0.706766399749567	0.926429417866942
1700003E16Rik	5.91047917240311	-0.331281759089304	0.424368986249511	-0.780645546266484	0.435010995819088	0.813780292826857
1700003M07Rik	15.9347620666999	-0.00610312716146531	0.398378126144477	-0.0153199354104395	0.987776938191675	0.996927562809785
1700007J10Rik	7.46915617803029	-0.631306975743468	0.423651271310057	-1.49015716108033	0.136182917330662	0.556455305780946
1700007K13Rik	32.9049447966684	-0.242509204373712	0.347249057313161	-0.698372534831704	0.484944247951851	0.840556031465796
1700007L15Rik	98.0950981028712	-0.261589123420498	0.191500918473776	-1.36599409290206	0.171940817471383	0.609797811293229
1700008J07Rik	84.8278320117224	0.155447111655202	0.217591145646479	0.714399987156451	0.474979879926489	0.83599547171957
1700009P17Rik	6.62626509804719	-0.114310701501248	0.422386794748282	-0.270630386466912	0.786675322633872	0.951734375444922
1700010I14Rik	125.501830026978	-0.0876845007983205	0.163115272846135	-0.537561561638882	0.590879773286007	0.88626660250442
1700012B09Rik	11.2772487099593	-1.75225629855038	0.410138195882731	-4.27235579651157	1.93418633722837e-05	0.00173910250997017
1700012D01Rik	37.8602636263263	0.00749851360393025	0.284783311013823	0.0263305935212134	0.978993653264599	0.996927562809785
1700012D14Rik	22.1386946132018	-0.54190281819521	0.362112449794412	-1.4965042447529	0.134522302587281	0.554492919940006
1700017B05Rik	517.385325954321	-0.134509138752822	0.215567728473416	-0.623976231068417	0.532643195000672	0.860182165879821
1700019D03Rik	20.2884954491836	0.392495497823959	0.408905836118239	0.959867683841191	0.337121812388313	0.759937381171531
1700019G17Rik	143.166382320017	0.13603002499668	0.176792882663696	0.769431568438435	0.441637154109586	0.818111053345224
1700019L03Rik	18.3460313638503	-0.321661402672511	0.33299057139361	-0.965977508991667	0.33405543541213	0.757932174241535
1700020D05Rik	5.83090700787033	-0.430674880366182	0.425505164638751	-1.0121495957207	0.311466531974223	0.741501158094692
1700020I14Rik	1355.736307394	0.00108103243352935	0.0840205434745946	0.0128662870867554	0.989734471407634	0.996927562809785
1700021F05Rik	234.872338428396	-0.312233425906499	0.146460197583779	-2.13186538771322	0.033017914345213	0.307887515841316
1700021K19Rik	827.31365842425	0.0480350992242611	0.0945706452943618	0.507928216781714	0.611503685509084	0.894509546181875
1700022I11Rik	9.60309350685881	0.222082703854742	0.425928643933001	0.521408238253343	0.602082413731521	0.889787844409012
1700023L04Rik	9.63822446931549	-0.479582673795772	0.418314486893938	-1.14646441570016	0.251603042742701	0.693607007374143
1700024F13Rik	5.63934702085104	-0.297020513254184	0.425770278364514	-0.69760743844101	0.485422728448602	0.840567690921186
1700025G04Rik	1555.66007853071	-0.407438518019022	0.120238638384701	-3.38858226850035	0.000702549502088896	0.028388436279348
1700028E10Rik	32.3801498943509	-0.700644102627935	0.312268459687394	-2.24372356826987	0.0248501927346931	0.269912853407142
1700028I16Rik	8.46490009141007	-0.705080935314011	0.413803547397193	-1.70390258795252	0.0883992874578907	0.475387355259945
1700028J19Rik	12.6251015057662	0.134775010814795	0.387568458368558	0.347745044532572	0.728031664744133	0.934094596873445
1700028K03Rik	11.6483889328006	0.078132971730174	0.388076939648533	0.201333714394203	0.840437641996081	0.968788095017349
1700029I15Rik	14.1528298372336	-0.319335727133943	0.388483195463676	-0.822006539440651	0.411073175074794	0.805897926474512
1700029J07Rik	31.72475107926	0.0239087398438619	0.314558153618046	0.0760073759616901	0.939413230007018	0.991789535288125
1700030C10Rik	17.5183188305383	0.424826761338023	0.377599375323895	1.1250727334324	0.260558214503191	0.700752928488399
1700030J22Rik	18.7418804880898	0.100183003465483	0.36663439217017	0.273250424960088	0.784660720749126	0.950834001905143
