regulator	target	beta.sign.sum	prior	ens_tf	ens_target
ARX	TLR2	-64.538873782954596	1	ENSG00000134954	ENSG00000125787
ARX	IL15	-203.30755730044498	1	ENSG00000134954	ENSG00000177791
ARX	CASP4	-327.33116745313799	1	ENSG00000134954	ENSG00000105825
ETV1	E2F3	126.60252408444599	1	ENSG00000138795	ENSG00000123838
TFAP2B	HMGCR	-777.95448586319105	1	ENSG00000102908	ENSG00000196954
TFAP2B	FBXO6	-600.21420412545604	1	ENSG00000102908	ENSG00000160791
PAX7	EGR1	630.07116217823307	1	ENSG00000163497	ENSG00000110852
PAX7	SLC25A30	175.173692684277	1	ENSG00000163497	ENSG00000103490
ETV7	ZBP1	773.109200289912	1	ENSG00000143355	ENSG00000138755
BRCA1	GTPBP1	-264.48419822040296	1	ENSG00000143190	ENSG00000173153
BRCA1	PLEKHA4	263.58896783076102	1	ENSG00000143190	ENSG00000116194
BRCA1	IER3	-83.899800976331093	1	ENSG00000143190	ENSG00000114353
POU2F2	PPP5C	62.960167307535002	1	ENSG00000123095	ENSG00000186480
POU2F2	BCL2L14	319.42228457470202	1	ENSG00000123095	ENSG00000110090
BARX2	NR2C1	186.73839553145001	1	ENSG00000135373	ENSG00000166527
BARX2	TRAF2	-400.44881144361398	1	ENSG00000135373	ENSG00000120738
FOXP3	TNIP3	440.19194920278102	1	ENSG00000182759	ENSG00000131759
FOXP3	IKBKB	-421.53120386529503	1	ENSG00000182759	ENSG00000153207
FOXP3	FBXO6	603.83860443187405	1	ENSG00000182759	ENSG00000160791
FOXP3	TRAF2	1004.23611447854	1	ENSG00000182759	ENSG00000120738
FOXP3	PIGF	1119.4481990745201	1	ENSG00000182759	ENSG00000141401
FOXP3	B4GALT5	1131.4522030875698	1	ENSG00000182759	ENSG00000135363
ALX4	MBP	244.93161278105302	1	ENSG00000135374	ENSG00000145365
FOXC1	BLVRA	-156.609559918955	1	ENSG00000204335	ENSG00000171885
FOXC1	CD80	-122.39994702957199	1	ENSG00000204335	ENSG00000117322
