regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	var.exp.ranksum	prior	stroke	stroke-width	stroke-dasharray
Exo1	Ppil5	50	50	0.955222567812806	62	0	None	None	None
Nfyb	Znrf1	-50	50	0.931630791091037	196	0	cyan	None	5,5
H1f0	Fads2	50	50	0.900272790746536	670	0	magenta	3	10,5,3
Exo1	Rfwd3	50	50	0.898941291392887	750	0	None	None	None
Stat3	Serpinf1	50	50	0.86132111589503	1680	0	cyan	None	5,5
Inhba	Itga3	50	50	0.849013930658841	2675	0	magenta	3	10,5,3
Klf4	Plekha2	50	50	0.868785455930375	3763	1	None	None	None
Pou2f2	Tnrc6a	50	50	0.881168951950414	4180	1	cyan	None	5,5
Exo1	Rpa2	50	50	0.829551811581917	5005	0	magenta	3	10,5,3
Rpa2	Exo1	50	50	0.821567626603001	5074	0	None	None	None
Sox4	Txndc17	-50	50	0.81709094173276	6958	0	cyan	None	5,5
Aes	Cnn2	50	50	0.780985067073912	8096	0	magenta	3	10,5,3
Mxi1	Stambp	-50	50	0.790573383800687	8406	0	None	None	None
Nfyb	Gpr89	49	49	0.895977256724335	10279.5	1	cyan	None	5,5
Irf5	Cd274	50	50	0.729173334493233	10394	1	magenta	3	10,5,3
Egr2	Naga	49	49	0.877892551993251	10826	0	None	None	None
Pbx2	Trappc10	-49	49	0.856938982367711	12788.5	0	cyan	None	5,5
Klf4	Arrb1	50	50	0.709517171984721	12823	0	magenta	3	10,5,3
Prkrir	Acsl6	50	50	0.710794969075427	12984	0	None	None	None
Klf4	Cd47	50	50	0.751154336806753	13101	0	cyan	None	5,5
Prkrir	Serpinb6b	49	49	0.837898320804394	13754.5	1	magenta	3	10,5,3
Dnmt3a	B4galnt1	50	50	0.710689729001573	13834	0	None	None	None
Aes	Itgb7	49	49	0.883896845030065	14640.5	0	cyan	None	5,5
Ifih1	Ctss	50	50	0.713830765494156	15247	0	magenta	3	10,5,3
Gfi1	Wipf1	50	50	0.704609388845504	17271	1	None	None	None
Aes	Crip1	49	49	0.802790845826986	17363.5	0	cyan	None	5,5
H1f0	Anln	49	49	0.753214101793658	17990.5	0	magenta	3	10,5,3
Tbx21	Gadd45g	50	50	0.662434863268441	19559	1	None	None	None
Egr2	Cox7a2l	48	48	0.903844838152072	20362	1	cyan	None	5,5
Trib3	Vegfa	50	50	0.750806820867843	20677	0	magenta	3	10,5,3
Irf4	Eif4e3	49	49	0.742180233336065	20862	1	None	None	None
Fosl2	Antxr2	50	50	0.673087980473956	21150	1	cyan	None	5,5
Irf4	Foxp1	-49	49	0.732941315482647	22338	1	magenta	3	10,5,3
Klf4	Enpp1	50	50	0.627457972065109	23737	0	None	None	None
Tal2	Acsl6	50	50	0.6204903386699	24523	0	cyan	None	5,5
Irf5	Ctla4	-48	48	0.821374807158393	24610	0	magenta	3	10,5,3
Nfkb1	Cd83	49	49	0.724927615709057	24725.5	1	None	None	None
Arid5a	Pdpn	50	50	0.639631641584278	25602	1	cyan	None	5,5
Nfatc1	Siah1a	-48	48	0.835055011009891	26553	0	magenta	3	10,5,3
Nfyb	H2afx	49	49	0.668385230544296	27575	1	None	None	None
Irf5	Peci	-50	50	0.640099352378411	27934	0	cyan	None	5,5
Dnmt3a	Pou2f2	49	49	0.730094730393965	28188	0	magenta	3	10,5,3
Nfyb	4933426m11rik	-48	48	0.876778628585487	29008	0	None	None	None
Arid3a	Ldlrap1	50	50	0.577908666688989	29796	0	cyan	None	5,5
Rara	Cd70	48	48	0.78321165044967	29883	0	magenta	3	10,5,3
Ing2	Papss1	49	49	0.657270744100935	30498.5	0	None	None	None
Prkrir	Tspan3	50	50	0.577238291820275	30985	0	cyan	None	5,5
Mxi1	Prkca	-49	49	0.644003586343375	31411	1	magenta	3	10,5,3
Stat2	Tnk2	-49	49	0.64590436494331	31715.5	0	None	None	None
Aes	Emb	48	48	0.797599642394721	32549.5	0	cyan	None	5,5
Egr2	Gltscr2	47	47	0.805431735416992	33386	1	magenta	3	10,5,3
Rara	Eomes	50	50	0.614486753407104	33815	1	None	None	None
Arid5a	Timd2	50	50	0.564668289308388	34034	1	cyan	None	5,5
Exo1	Gltscr2	-48	48	0.685324750019301	34188.5	0	magenta	3	10,5,3
Crem	Sh2d3c	-49	49	0.625349897830725	34345	0	None	None	None
Exo1	Anln	48	48	0.68925076224927	34862.5	0	cyan	None	5,5
Trib3	Gpt2	47	47	0.815940566817838	35093.5	0	magenta	3	10,5,3
Klf4	Pkp3	49	49	0.606198570568187	35470	1	None	None	None
Tbx21	Fam102a	48	48	0.688174508357306	35531.5	0	cyan	None	5,5
Ahr	Ehd3	-49	49	0.604328648976084	36987.5	0	magenta	3	10,5,3
Irf4	Nucb2	50	50	0.624202831604861	37827	1	None	None	None
Stat3	Cysltr1	47	47	0.74418948160073	38266.5	1	cyan	None	5,5
H1f0	Plekha1	-48	48	0.627640150380724	38535.5	0	magenta	3	10,5,3
Nfyb	S1pr1	-46	46	0.928201949480602	38800.5	0	None	None	None
Nfyb	Kdelc1	46	46	0.929722144651831	38940.5	0	cyan	None	5,5
Tbx21	Opn3	-47	47	0.755606630236644	39712	0	magenta	3	10,5,3
Aes	Bid	-47	47	0.810181416142607	39792	0	None	None	None
Hif1a	Pla2g12a	47	47	0.742131820744518	40130.5	0	cyan	None	5,5
Nfkb1	Arrb1	-50	50	0.525776367373022	40321	1	magenta	3	10,5,3
Cebpb	Slain1	48	48	0.663094846414455	40472	0	None	None	None
Rara	Penk	47	47	0.727984915475609	40645.5	0	cyan	None	5,5
Cebpb	4930420k17rik	47	47	0.712635361593183	41073.5	0	magenta	3	10,5,3
Trib3	Pck2	49	49	0.535958372936488	41211.5	0	None	None	None
Klf4	Fbxo18	48	48	0.63757424689033	41619	1	cyan	None	5,5
Stat3	Plod2	46	46	0.838743354369264	41732.5	1	magenta	3	10,5,3
Klf4	Abhd4	47	47	0.722981254670522	41744.5	1	None	None	None
Stat2	Fas	49	49	0.561660027135994	42177	1	cyan	None	5,5
Tal2	Srgn	-48	48	0.630565601620467	42190.5	0	magenta	3	10,5,3
Ift57	Cpox	46	46	0.845141742843113	42312.5	0	None	None	None
Trib3	Nupr1	49	49	0.598186512808611	43016.5	0	cyan	None	5,5
Runx1	Oxct1	48	48	0.641440689850461	43342.5	1	magenta	3	10,5,3
Exo1	4632428n05rik	-50	50	0.474685015166204	43382	0	None	None	None
Egr2	Map3k1	46	46	0.808407715117793	43520	1	cyan	None	5,5
Stat2	Cd274	50	50	0.503103981829861	44006	1	magenta	3	10,5,3
H1f0	H2afx	47	47	0.683992862891196	44110	0	None	None	None
Ift57	Kctd17	48	48	0.800990108980845	44130.5	0	cyan	None	5,5
