regulator	target	beta.sign.sum	prior	ens_tf	ens_target
ARX	PAX8	-851.77936397920598	1	ENSG00000134954	ENSG00000164825
MEOX1	NR4A1	188.97419605529899	1	ENSG00000106004	ENSG00000108342
SOX8	RTP4	427.45730248156303	1	ENSG00000112033	ENSG00000001084
SOX8	SCARB2	362.065632665777	1	ENSG00000112033	ENSG00000173706
SOX8	TAGAP	411.99429126344597	1	ENSG00000112033	ENSG00000105402
SOX8	SPSB1	273.040838785961	1	ENSG00000112033	ENSG00000138035
SOX8	ZNF366	-271.48009791547099	1	ENSG00000112033	ENSG00000116251
SOX8	TNFSF15	592.73979807463695	1	ENSG00000112033	ENSG00000020577
SOX8	GRIN2A	461.760484736828	1	ENSG00000112033	ENSG00000141574
SOX8	MAFB	388.462184055622	0	ENSG00000112033	ENSG00000146859
SOX8	IRF9	197.63322735855701	1	ENSG00000112033	ENSG00000106785
ZNF263	ABCG5	89.520714415621583	1	ENSG00000147862	ENSG00000172432
ZNF263	GRIN1	-75.919013291071906	1	ENSG00000147862	ENSG00000009413
ZNF263	BACE1	87.183083096577917	1	ENSG00000147862	ENSG00000168003
ZNF263	AKR1C1	-169.88244172438101	1	ENSG00000147862	ENSG00000142168
PAX6	CD3G	-922.543725058468	1	ENSG00000163884	ENSG00000227507
NFIX	IRF4	-763.52416336295596	1	ENSG00000126351	ENSG00000137198
PAX7	UBE2M	125.26955668819799	1	ENSG00000163497	ENSG00000139083
PAX7	TP53	57.924867539089902	1	ENSG00000163497	ENSG00000205581
HIVEP2	CD83	543.49029963827297	1	ENSG00000157613	ENSG00000123838
BRCA1	LIPG	160.143306059238	1	ENSG00000143190	ENSG00000143921
BRCA1	TNFRSF10A	95.028413688586411	1	ENSG00000143190	ENSG00000111732
RUNX3	TP53	49.498908082044402	1	ENSG00000164683	ENSG00000205581
FOXP3	RTP4	190.86356756667999	1	ENSG00000182759	ENSG00000001084
FOXC1	PRKACA	-25.607307434830297	1	ENSG00000204335	ENSG00000117595
FOXC1	BLNK	-92.519798087574713	1	ENSG00000204335	ENSG00000112333
FOXC1	SCD	-124.28578895263399	1	ENSG00000204335	ENSG00000185551
FOXC1	EIF3L	-127.483297450493	1	ENSG00000204335	ENSG00000140009
FOXC1	PDGFB	-30.082980247180402	1	ENSG00000204335	ENSG00000196482
FOXC1	NFKBIA	-48.521753390262205	1	ENSG00000204335	ENSG00000136931
FOXC1	NKAP	-75.714199876160293	1	ENSG00000204335	ENSG00000173210
FOXC1	RIPK2	-70.602453957196403	1	ENSG00000204335	ENSG00000135744
FOXC1	SERPINE1	-225.24970002443999	1	ENSG00000204335	ENSG00000171885
FOXC1	SCNN1A	-111.977504438514	1	ENSG00000204335	ENSG00000125378
FOXC1	SOCS2	-163.06484348080798	1	ENSG00000204335	ENSG00000164692
FOXC1	CD80	-55.140028687331295	1	ENSG00000204335	ENSG00000117322
FOXC1	INHBA	-75.823555317588799	0	ENSG00000204335	ENSG00000132693
FOXC1	NMI	-48.052460685507405	1	ENSG00000204335	ENSG00000124092
FOXC1	MT1G	-18.628103386753899	1	ENSG00000204335	ENSG00000130649
